epoch,accuracy,loss,val_accuracy,val_loss
0,0.8101423382759094,0.5190792679786682,NA,NA
1,0.8354383111000061,0.45534226298332214,NA,NA
2,0.8402315378189087,0.444908082485199,NA,NA
3,0.8412620425224304,0.44489702582359314,NA,NA
4,0.8438743352890015,0.4392015337944031,NA,NA
5,0.8433470726013184,0.440375953912735,NA,NA
6,0.8445573449134827,0.4424686133861542,NA,NA
7,0.8427119851112366,0.4428175687789917,NA,NA
8,0.8423884510993958,0.4427545666694641,NA,NA
9,0.8464027047157288,0.4358169138431549,NA,NA
